Epoch,Train_Net1,Test_Net1,Train_Net2,Test_Net2,Train_Net3,Test_Net3,Train_Net4,Test_Net4,Train_Net5,Test_Net5,Train_Net6,Test_Net6,Train_Net7,Test_Net7,Train_Net8,Test_Net8,Train_Net9,Test_Net9,Train_Net10,Test_Net10
89,0.001680023,0.001688829,0.001867266,0.001886972,0.001803909,0.001814220,0.001789308,0.001799696,0.002238564,0.002267944,0.001439009,0.001447729,0.001757555,0.001763299,0.001650250,0.001648247,0.001647967,0.001666513,0.001670465,0.001690579
90,0.001677073,0.001685779,0.001866315,0.001886055,0.001802227,0.001812145,0.001784392,0.001794505,0.002226545,0.002256616,0.001433977,0.001443211,0.001756167,0.001761715,0.001648129,0.001646147,0.001643952,0.001662591,0.001667713,0.001687763
91,0.001674134,0.001682743,0.001865394,0.001885160,0.001800572,0.001810097,0.001779576,0.001789407,0.002214660,0.002245409,0.001428947,0.001438696,0.001754782,0.001760140,0.001645985,0.001644031,0.001639933,0.001658671,0.001664966,0.001684955
92,0.001671207,0.001679722,0.001864499,0.001884286,0.001798942,0.001808077,0.001774853,0.001784400,0.002202909,0.002234323,0.001423923,0.001434189,0.001753400,0.001758573,0.001643818,0.001641897,0.001635910,0.001654753,0.001662224,0.001682157
93,0.001668291,0.001676715,0.001863630,0.001883432,0.001797338,0.001806082,0.001770220,0.001779478,0.002191291,0.002223356,0.001418906,0.001429691,0.001752020,0.001757015,0.001641626,0.001639746,0.001631881,0.001650838,0.001659486,0.001679368
94,0.001665385,0.001673721,0.001862785,0.001882595,0.001795757,0.001804114,0.001765672,0.001774639,0.002179806,0.002212508,0.001413902,0.001425207,0.001750642,0.001755464,0.001639410,0.001637576,0.001627847,0.001646925,0.001656752,0.001676586
95,0.001662489,0.001670740,0.001861962,0.001881776,0.001794200,0.001802171,0.001761205,0.001769879,0.002168453,0.002201780,0.001408913,0.001420740,0.001749266,0.001753920,0.001637169,0.001635388,0.001623808,0.001643012,0.001654023,0.001673813
96,0.001659601,0.001667771,0.001861160,0.001880972,0.001792667,0.001800252,0.001756815,0.001765194,0.002157231,0.002191169,0.001403942,0.001416294,0.001747890,0.001752383,0.001634903,0.001633181,0.001619764,0.001639101,0.001651297,0.001671048
97,0.001656721,0.001664815,0.001860378,0.001880182,0.001791155,0.001798359,0.001752498,0.001760581,0.002146140,0.002180677,0.001398994,0.001411870,0.001746515,0.001750853,0.001632611,0.001630954,0.001615714,0.001635191,0.001648574,0.001668290
98,0.001653850,0.001661871,0.001859614,0.001879406,0.001789666,0.001796489,0.001748250,0.001756037,0.002135179,0.002170302,0.001394070,0.001407474,0.001745140,0.001749328,0.001630293,0.001628707,0.001611659,0.001631281,0.001645854,0.001665539
99,0.001650985,0.001658938,0.001858868,0.001878642,0.001788198,0.001794644,0.001744067,0.001751559,0.002124347,0.002160043,0.001389175,0.001403109,0.001743765,0.001747809,0.001627948,0.001626440,0.001607597,0.001627371,0.001643137,0.001662795
100,0.001648127,0.001656015,0.001858137,0.001877890,0.001786751,0.001792822,0.001739947,0.001747144,0.002113644,0.002149900,0.001384311,0.001398777,0.001742388,0.001746294,0.001625577,0.001624153,0.001603530,0.001623460,0.001640422,0.001660058
101,0.001645275,0.001653104,0.001857422,0.001877148,0.001785325,0.001791023,0.001735887,0.001742789,0.002103068,0.002139872,0.001379483,0.001394482,0.001741011,0.001744784,0.001623178,0.001621845,0.001599456,0.001619549,0.001637710,0.001657327
102,0.001642429,0.001650202,0.001856721,0.001876416,0.001783919,0.001789246,0.001731883,0.001738493,0.002092619,0.002129959,0.001374693,0.001390227,0.001739631,0.001743279,0.001620752,0.001619515,0.001595376,0.001615637,0.001634999,0.001654602
